image_id,nutrient,quantity,column,dx,dy,deviation,method,image_mean_dev,gt_image_mean
4.png,energy,56,0,3994.0,191.0,1.6457,mahalanobis,1.3109640287769784,1
4.png,energy,6.7,0,3993.0,244.5,1.8364,mahalanobis,1.3109640287769784,1
4.png,energy,0.12,0,4027.5,358.0,2.5094,mahalanobis,1.3109640287769784,1
4.png,fat,0,0,358.0,2.5,1.7742,mahalanobis,1.3109640287769784,1
4.png,fat,0,0,347.0,101.0,1.3947,mahalanobis,1.3109640287769784,1
4.png,fat,56,0,369.5,161.0,1.3647,mahalanobis,1.3109640287769784,1
4.png,fat,6.7,0,368.5,214.5,1.5134,mahalanobis,1.3109640287769784,1
4.png,fat,0.12,0,403.0,328.0,2.1312,mahalanobis,1.3109640287769784,1
4.png,fat,0,0,768.0,0.0,1.5532,mahalanobis,1.3109640287769784,1
4.png,fat,0,0,757.0,98.5,1.0803,mahalanobis,1.3109640287769784,0
4.png,fat,56,0,779.5,158.5,1.0362,mahalanobis,1.3109640287769784,0
4.png,fat,6.7,0,778.5,212.0,1.217,mahalanobis,1.3109640287769784,0
4.png,fat,0.12,0,813.0,325.5,1.9257,mahalanobis,1.3109640287769784,1
4.png,fat,0,0,1610.5,-4.0,1.2508,mahalanobis,1.3109640287769784,0
4.png,fat,0,0,1599.5,94.5,0.4979,mahalanobis,1.3109640287769784,0
4.png,fat,56,0,1622.0,154.5,0.3784,mahalanobis,1.3109640287769784,0
4.png,fat,6.7,0,1621.0,208.0,0.7192,mahalanobis,1.3109640287769784,0
4.png,fat,0.12,0,1655.5,321.5,1.6474,mahalanobis,1.3109640287769784,1
4.png,fat,0,0,2107.5,-8.0,1.2376,mahalanobis,1.3109640287769784,0
4.png,fat,0,0,2096.5,90.5,0.3857,mahalanobis,1.3109640287769784,0
4.png,fat,56,0,2119.0,150.5,0.1503,mahalanobis,1.3109640287769784,0
4.png,fat,6.7,0,2118.0,204.0,0.6032,mahalanobis,1.3109640287769784,0
4.png,fat,0.12,0,2152.5,317.5,1.5858,mahalanobis,1.3109640287769784,1
4.png,graisses,0,0,2498.5,-13.0,1.3316,mahalanobis,1.3109640287769784,1
4.png,graisses,0,0,2487.5,85.5,0.5576,mahalanobis,1.3109640287769784,0
4.png,graisses,56,0,2510.0,145.5,0.3887,mahalanobis,1.3109640287769784,0
4.png,graisses,6.7,0,2509.0,199.0,0.6721,mahalanobis,1.3109640287769784,0
4.png,graisses,0.12,0,2543.5,312.5,1.5922,mahalanobis,1.3109640287769784,1
4.png,fat,0,0,3016.5,-17.0,1.531,mahalanobis,1.3109640287769784,1
4.png,fat,0,0,3005.5,81.5,0.9028,mahalanobis,1.3109640287769784,0
4.png,fat,56,0,3028.0,141.5,0.7965,mahalanobis,1.3109640287769784,0
4.png,fat,6.7,0,3027.0,195.0,0.9499,mahalanobis,1.3109640287769784,0
4.png,fat,0.12,0,3061.5,308.5,1.7148,mahalanobis,1.3109640287769784,1
4.png,fat,0,0,4026.0,-29.5,2.1393,mahalanobis,1.3109640287769784,1
4.png,fat,0,0,4015.0,69.0,1.6877,mahalanobis,1.3109640287769784,1
4.png,fat,56,0,4037.5,129.0,1.6076,mahalanobis,1.3109640287769784,1
4.png,fat,6.7,0,4036.5,182.5,1.6585,mahalanobis,1.3109640287769784,1
4.png,fat,0.12,0,4071.0,296.0,2.1497,mahalanobis,1.3109640287769784,1
4.png,saturated fats,0,0,283.0,49.5,1.5962,mahalanobis,1.3109640287769784,1
