image_id,nutrient,column,best_quantity,dx,dy,best_deviation,likely_missing
101.png,salt,0,36,1224.0,381.5,0.981,0
120.jpeg,acidophilus,0,1,325.0,457.5,0.9795,0
120.jpeg,lactobacillus,0,100,545.0,510.0,0.9788,0
4.png,protein,0,0.12,1195.0,54.0,0.9762,0
51.png,dont acides gras saturéswaarvan verzadigde vetzuren,1,62,1423.0,247.5,0.9739,0
2.png,protein,1,0.30,2212.5,124.5,0.9729,0
102.png,energy,0,0.1,1726.0,269.0,0.9726,0
17.png,niacin,2,2.4,879.0,7.0,0.9691,0
17.png,caffeine,2,2.4,972.0,226.5,0.9691,0
120.jpeg,iodine,0,45,370.5,182.0,0.9677,0
101.png,fat,0,<0.1,1159.0,149.0,0.9673,0
2.png,protein,0,0.43,1599.5,133.5,0.9645,0
63.png,potassium,1,166.7,2618.0,73.5,0.9599,0
51.png,dont acides gras saturéswaarvan verzadigde vetzuren,0,37,1969.0,261.5,0.9576,0
121.jpeg,protein,0,0.09,496.5,42.5,0.9505,0
45_2.png,carbohydrate,0,38,989.0,213.5,0.9489,0
61.png,potassium,1,50,2012.0,56.0,0.9468,0
30.png,energy,1,5.0,842.0,281.5,0.9452,0
9.jpeg,vitamin c,0,30,105.5,1.0,0.9386,0
20.png,vitamin b1,0,153,1852.0,130.0,0.9385,0
121.jpeg,protein,1,0.20,631.5,45.0,0.9357,0
88.png,protein,1,0.10,1110.0,51.0,0.9353,0
108.jpeg,folic acid,0,6.0,433.5,33.0,0.935,0
88.png,saturated fats,0,13,1609.0,206.0,0.9277,0
12.png,waarvan sukers / josta sokereiden osuus / dont sucres,0,0.4,915.0,192.0,0.9265,0
120.jpeg,calcium,0,45,347.5,264.0,0.9232,0
12.png,waarvan sukers / josta sokereiden osuus / dont sucres,1,0.6,648.0,191.0,0.92,0
108.jpeg,biotin,0,6.0,451.0,98.0,0.9182,0
118.jpeg,fat,1,3.2,646.0,61.0,0.9168,0
116.jpeg,carbohydrate,1,41.0,499.5,155.5,0.915,0
91.png,saturated fats,0,11,1403.5,345.0,0.9147,0
20.png,folic acid,1,1000,796.5,161.0,0.9124,0
120.jpeg,vitamin k,0,45,340.0,307.0,0.9124,0
120.jpeg,alpha-liponsäure,0,250,542.5,442.0,0.9074,0
114.jpeg,fibre,1,0.51,443.5,99.5,0.9073,0
110.jpeg,melissen extrakt,1,30,597.5,14.0,0.9063,0
20.png,carbohydrate,1,200,757.0,551.5,0.9054,0
110.jpeg,melissen extrakt,0,15,207.5,6.0,0.9052,0
114.jpeg,fibre,0,0.17,841.0,76.0,0.9016,0
82.jpeg,fat,0,3,210.5,37.0,0.9014,0
121.jpeg,fat,0,6.7,524.0,132.5,0.8986,0
118.jpeg,fat,0,4.0,798.5,60.0,0.8951,0
4.png,proteines,0,0.12,2537.0,42.5,0.8931,0
201.jpeg,protein,0,0.05,621.5,71.5,0.8928,0
116.jpeg,carbohydrate,0,3.7,776.5,98.5,0.8915,0
113.jpeg,fibre,2,0.53,383.0,109.5,0.8907,0
45_2.png,energy,0,94,1143.5,821.0,0.8903,0
109.jpeg,protein,0,0.05,344.5,38.5,0.8896,0
120.jpeg,vitamin d3,0,90,530.0,296.0,0.8874,0
64.png,folic acid,0,2.0,1089.0,125.5,0.8863,0
113.jpeg,fibre,1,0.17,778.5,98.5,0.8848,0
105.png,sugars,0,0.00,1257.0,358.5,0.8837,0
116.jpeg,protein,1,2.02,582.0,56.5,0.8828,0
120.jpeg,vitamin e,0,100,529.5,530.5,0.8824,0
121.jpeg,fat,1,49,658.0,103.5,0.881,0
109.jpeg,saturated fats,0,9.8,283.5,141.5,0.8786,0
8.png,protein,0,4.8,850.5,172.0,0.8727,0
105.png,fibre,0,0.00,1292.5,185.5,0.8727,0
110.jpeg,niacin,1,16,616.5,18.5,0.8714,0
91.png,energy,0,1.6,1380.5,167.0,0.8714,0
116.jpeg,protein,0,0.61,851.5,47.5,0.8713,0
120.jpeg,zinc,0,45,369.5,221.5,0.8707,0
30.png,fat,0,71,1237.5,257.0,0.87,0
113.jpeg,carbohydrate,1,44,968.5,123.0,0.8676,0
110.jpeg,niacin,0,8.0,227.5,10.0,0.8655,0
116.jpeg,energy,1,27.0,592.0,204.0,0.8651,0
102.png,davon gesattigte,1,31,729.0,323.0,0.864,0
201.jpeg,protein,1,0.02,876.0,74.5,0.8638,0
116.jpeg,fibre,0,0.61,778.0,100.0,0.8626,0
53.png,proteineiweibproteineseiwitten,1,0.13,1713.0,101.5,0.8599,0
12.png,fatten/ rasva / matiéres grasses / fett/ tlustcze / fett,1,32,652.0,250.5,0.8599,0
120.jpeg,vitamin c,0,4.1,338.5,386.0,0.8573,0
12.png,carbohydrate,0,0.0,920.5,249.5,0.8561,0
102.png,energy,1,1.1,934.0,321.0,0.856,0
45_1.png,fibre,0,500,1230.0,122.0,0.8559,0
101.png,vitamin b1,0,36,1150.5,191.5,0.855,0
8.png,fat,0,21271,935.5,508.0,0.8539,0
12.png,carbohydrate,1,0.1,653.5,248.5,0.8486,0
45_2.png,protein,0,1.3,1143.0,185.0,0.846,0
12.png,fatten/ rasva / matiéres grasses / fett/ tlustcze / fett,0,19,922.0,248.5,0.8451,0
53.png,proteineiweibproteineseiwitten,0,0.08,2197.5,84.5,0.8433,0
20.png,vitamin b1,1,1000,857.5,231.0,0.8425,0
8.png,energy,0,7.9,1222.5,359.0,0.8417,0
20.png,fatt/fat,1,240,850.0,756.0,0.8402,0
82.jpeg,energy,0,60,204.5,31.5,0.8385,0
68.jpeg,e/lsidn/t-hstidna/l-istidina,0,169,308.0,74.0,0.8362,0
118.jpeg,fibre,0,0.70,716.5,28.5,0.8359,0
45_1.png,sugars,0,240,880.5,313.0,0.835,0
30.png,fat,1,39,830.0,279.5,0.8339,0
114.jpeg,carbohydrate,0,21.0,833.5,126.0,0.83,0
27.png,calcium,0,2000,1009.5,235.5,0.829,0
110.jpeg,pantothenic acid,0,3.0,209.5,9.0,0.8239,0
6.png,magnesium,0,9,1336.5,416.0,0.8235,0
104.jpeg,fibre,0,0.1,111.5,45.0,0.8194,0
106.png,vitaminae/e-vitamin,0,250,540.5,478.0,0.8192,0
57.jpeg,brennwen.....energie,0,1604,157.5,26.5,0.8191,0
110.jpeg,pantothenic acid,1,6.0,597.5,18.0,0.8178,0
2.png,saturated fats,1,25,1894.5,400.5,0.8167,0
34.png,vitamin b1,0,3.5,557.5,275.0,0.8141,0
113.jpeg,carbohydrate,2,145,567.5,147.5,0.8115,0
53.png,carbohydratekohlenhydrateglucideskoolhydraten,0,4.0,1949.0,185.0,0.8085,0
116.jpeg,energy,0,0.4,864.5,96.5,0.8083,0
20.png,caffeine (from guarana extract powder,0,66706,1790.0,379.0,0.8076,0
103.jpeg,carbohydrate,0,1.9,150.0,39.0,0.8028,0
116.jpeg,fibre,1,2.02,508.5,109.0,0.8013,0
115.png,davon gesattigte,0,1.6,674.5,408.0,0.8006,0
120.jpeg,folic acid,0,90,530.5,426.5,0.8003,0
4.png,fat,0,56,3028.0,141.5,0.7965,0
68.jpeg,wnan verzadde vetzuren/de las cuales saturadas/dos quais acidos gordos,0,2,293.5,101.5,0.7947,0
56.jpeg,proteines,0,0.228,234.0,8.0,0.7925,0
120.jpeg,vitamin b12,0,90,525.0,340.0,0.7914,0
68.jpeg,aaesdre/1-leucin/l-leucina,0,169,339.5,137.0,0.791,0
56.jpeg,proteines,1,3.67,122.5,24.5,0.7903,0
106.png,vitamin e,0,250,552.5,597.0,0.7902,0
2.png,saturated fats,0,33,1287.0,403.5,0.79,0
53.png,carbohydratekohlenhydrateglucideskoolhydraten,1,6.7,1459.0,201.5,0.7867,0
104.jpeg,sugars,0,1.4,159.5,28.5,0.7862,0
88.png,carbohydrate,1,0.10,1176.0,403.5,0.7846,0
53.png,of which saturates i davon gesättigte fettsäuren,2,0.21,1814.5,657.5,0.7823,0
53.png,of which saturates i davon gesättigte fettsäuren,3,0.35,1302.0,676.0,0.7823,0
33.png,sodium,0,105,1219.0,410.5,0.7813,0
51.png,of which saturatesdavon gesättigte feltsauren,2,0.21,1842.5,729.0,0.7801,0
118.jpeg,fibre,1,0.56,563.0,27.0,0.7784,0
17.png,niacin,0,0.38,1130.5,445.0,0.7783,0
4.png,proteins,0,0.12,1623.5,54.0,0.776,0
121.jpeg,energy,0,2.2,510.0,132.5,0.7749,0
91.png,saturated fats,0,11,1382.0,247.0,0.7748,0
27.png,zinc,0,10000,1001.5,236.5,0.7726,0
4.png,energy,0,0,2996.0,143.5,0.7723,0
120.jpeg,vitamin b1,0,63,527.0,432.5,0.7717,0
45_1.png,energykj/kcal,0,0,1300.5,330.0,0.7707,0
4.png,carbohydrate,0,0.12,2979.0,150.0,0.7664,0
2.png,carbohydrate,0,0,1293.5,277.5,0.7653,0
4.png,saturated fats,0,6.7,2884.5,94.5,0.763,0
120.jpeg,niacin,0,4.1,353.5,341.5,0.7626,0
59.png,carbohydrate,1,12.7,1691.5,206.5,0.7625,0
103.jpeg,sugars,0,66.0,149.0,42.0,0.7619,0
102.png,carbohydrate,0,0.7,1540.0,288.0,0.7614,0
4.png,protein,0,0.12,2143.0,47.5,0.7601,0
45_1.png,protein,0,0,977.5,154.5,0.7592,0
20.png,vitamin e,1,1000,874.5,482.5,0.757,0
53.png,carbohydratekohlenhydrateglucideskoolhydraten,2,0.21,1759.0,438.0,0.7565,0
53.png,carbohydratekohlenhydrateglucideskoolhydraten,3,0.35,1246.5,456.5,0.7565,0
20.png,vitamin b6,0,153,1852.5,192.5,0.754,0
118.jpeg,energy,1,38,634.5,66.0,0.753,0
26.png,fat,0,56,1185.5,192.0,0.7526,0
114.jpeg,carbohydrate,1,140,633.0,137.5,0.7519,0
34.png,vitamins,0,8.4,795.0,627.5,0.7477,0
51.png,carbohydratekohlenhydrateglucideskoolhydraten,1,6.7,1467.5,253.0,0.7476,0
4.png,energy,0,0,1139.5,154.5,0.7457,0
51.png,carbohydratekohlenhydrateglucideskoolhydraten,2,0.21,1791.0,519.0,0.745,0
120.jpeg,inositol,0,16,352.5,453.0,0.7437,0
121.jpeg,energy,1,49,645.0,134.5,0.7413,0
34.png,protein,0,2.6,500.5,491.0,0.7377,0
51.png,carbohydratekohlenhydrateglucideskoolhydraten,0,4.0,2012.0,271.5,0.7377,0
102.png,protein,1,0.14,851.5,92.5,0.7363,0
20.png,vitamin b1,1,1000,859.0,292.5,0.7362,0
4.png,de las cuales dontacides waarvan heraf maettede davon gesattigte,0,6.7,2935.5,152.0,0.7352,0
104.jpeg,carbohydrate,0,1.4,164.0,46.0,0.7348,0
41.png,protein,0,0.10,1654.5,148.0,0.7341,0
33.png,protein,0,26,1215.0,464.0,0.7335,0
120.jpeg,vitamin b2,0,100,522.5,402.5,0.7313,0
41.png,energy,0,0,1783.0,464.5,0.7309,0
34.png,calcium,0,3.2,496.5,594.5,0.7295,0
120.jpeg,vitamin b6,0,100,521.0,445.5,0.7254,0
120.jpeg,biotin,0,45,354.0,437.0,0.7232,0
